연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-05-11,,2025-05-11,일,주말,5,19,SSG,KIA,문학,인천,23000,112,인천,13.2,,2.5,86.4
2025,2025-05-11,,2025-05-11,일,주말,5,19,SSG,KIA,문학,인천,23000,112,인천,13.2,,2.5,86.4
2025,2025-05-11,,2025-05-11,일,주말,5,19,삼성,LG,대구,대구,24000,143,대구,16.0,,1.7,68.5
2025,2025-05-11,,2025-05-11,일,주말,5,19,KT,롯데,수원,경기_수원,18700,119,수원,14.1,,1.8,77.5
2025,2025-05-11,,2025-05-11,일,주말,5,19,KT,롯데,수원,경기_수원,14470,119,수원,14.1,,1.8,77.5
2025,2025-05-11,,2025-05-11,일,주말,5,19,두산,NC,잠실,서울_잠실,19366,108,서울,14.7,,1.9,76.9
2025,2025-05-11,,2025-05-11,일,주말,5,19,두산,NC,잠실,서울_잠실,9172,108,서울,14.7,,1.9,76.9
2025,2025-05-13,,2025-05-13,화,평일,5,20,삼성,KT,포항,기타,10758,138,포항,22.4,,3.2,42.1
2025,2025-05-13,,2025-05-13,화,평일,5,20,KIA,롯데,광주,광주,16824,156,광주,19.9,,1.4,55.8
2025,2025-05-13,,2025-05-13,화,평일,5,20,SSG,NC,문학,인천,12746,112,인천,20.0,,3.8,47.9
2025,2025-05-13,,2025-05-13,화,평일,5,20,한화,두산,대전,대전,17000,133,대전,19.3,,1.5,53.5
2025,2025-05-13,,2025-05-13,화,평일,5,20,LG,키움,잠실,서울_잠실,18080,108,서울,19.9,,2.7,47.4
2025,2025-05-14,,2025-05-14,수,평일,5,20,삼성,KT,포항,기타,12120,138,포항,22.6,,3.2,44.8
2025,2025-05-14,,2025-05-14,수,평일,5,20,KIA,롯데,광주,광주,18641,156,광주,20.2,,1.9,62.4
2025,2025-05-14,,2025-05-14,수,평일,5,20,SSG,NC,문학,인천,11409,112,인천,20.4,,2.9,56.4
2025,2025-05-14,,2025-05-14,수,평일,5,20,한화,두산,대전,대전,17000,133,대전,21.0,,1.3,51.8
2025,2025-05-14,,2025-05-14,수,평일,5,20,LG,키움,잠실,서울_잠실,18286,108,서울,21.0,,2.4,52.8
