연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2024,2024-05-26,,2024-05-26,일,주말,5,21,롯데,삼성,사직,부산,22758
2024,2024-05-28,,2024-05-28,화,평일,5,22,NC,KIA,창원,경남_창원,8024
2024,2024-05-28,,2024-05-28,화,평일,5,22,두산,KT,잠실,서울_잠실,8459
2024,2024-05-28,,2024-05-28,화,평일,5,22,SSG,LG,문학,인천,14116
2024,2024-05-28,,2024-05-28,화,평일,5,22,한화,롯데,한밭,기타,11168
2024,2024-05-28,,2024-05-28,화,평일,5,22,삼성,키움,대구,대구,10884
2024,2024-05-29,,2024-05-29,수,평일,5,22,NC,KIA,창원,경남_창원,7994
2024,2024-05-29,,2024-05-29,수,평일,5,22,두산,KT,잠실,서울_잠실,8811
2024,2024-05-29,,2024-05-29,수,평일,5,22,SSG,LG,문학,인천,14413
2024,2024-05-29,,2024-05-29,수,평일,5,22,한화,롯데,한밭,기타,10807
2024,2024-05-29,,2024-05-29,수,평일,5,22,삼성,키움,대구,대구,15080
2024,2024-05-30,,2024-05-30,목,평일,5,22,NC,KIA,창원,경남_창원,7349
2024,2024-05-30,,2024-05-30,목,평일,5,22,두산,KT,잠실,서울_잠실,7915
2024,2024-05-30,,2024-05-30,목,평일,5,22,SSG,LG,문학,인천,15902
2024,2024-05-30,,2024-05-30,목,평일,5,22,한화,롯데,한밭,기타,11405
2024,2024-05-30,,2024-05-30,목,평일,5,22,삼성,키움,대구,대구,12748
2024,2024-05-31,,2024-05-31,금,평일,5,22,삼성,한화,대구,대구,24000
2024,2024-05-31,,2024-05-31,금,평일,5,22,KIA,KT,광주,광주,20500
2024,2024-05-31,,2024-05-31,금,평일,5,22,두산,LG,잠실,서울_잠실,23750
2024,2024-05-31,,2024-05-31,금,평일,5,22,롯데,NC,사직,부산,17760
2024,2024-05-31,,2024-05-31,금,평일,5,22,키움,SSG,고척,서울_고척,5680
2024,2024-06-01,,2024-06-01,토,주말,6,22,삼성,한화,대구,대구,24000
2024,2024-06-01,,2024-06-01,토,주말,6,22,KIA,KT,광주,광주,20500
2024,2024-06-01,,2024-06-01,토,주말,6,22,두산,LG,잠실,서울_잠실,23750
2024,2024-06-01,,2024-06-01,토,주말,6,22,롯데,NC,사직,부산,22758
2024,2024-06-01,,2024-06-01,토,주말,6,22,키움,SSG,고척,서울_고척,10462
2024,2024-06-02,,2024-06-02,일,주말,6,22,삼성,한화,대구,대구,24000
2024,2024-06-02,,2024-06-02,일,주말,6,22,KIA,KT,광주,광주,20500
2024,2024-06-02,,2024-06-02,일,주말,6,22,두산,LG,잠실,서울_잠실,23750
2024,2024-06-02,,2024-06-02,일,주말,6,22,롯데,NC,사직,부산,21896
2024,2024-06-02,,2024-06-02,일,주말,6,22,키움,SSG,고척,서울_고척,8745
2024,2024-06-04,,2024-06-04,화,평일,6,23,KT,한화,수원,경기_수원,11426
2024,2024-06-04,,2024-06-04,화,평일,6,23,KIA,롯데,광주,광주,16158
2024,2024-06-04,,2024-06-04,화,평일,6,23,NC,두산,창원,경남_창원,5448
2024,2024-06-04,,2024-06-04,화,평일,6,23,SSG,삼성,문학,인천,10135
2024,2024-06-04,,2024-06-04,화,평일,6,23,LG,키움,잠실,서울_잠실,14490
2024,2024-06-05,,2024-06-05,수,평일,6,23,KT,한화,수원,경기_수원,14626
2024,2024-06-05,,2024-06-05,수,평일,6,23,KIA,롯데,광주,광주,19045
2024,2024-06-05,,2024-06-05,수,평일,6,23,NC,두산,창원,경남_창원,9892
2024,2024-06-05,,2024-06-05,수,평일,6,23,SSG,삼성,문학,인천,14532
2024,2024-06-05,,2024-06-05,수,평일,6,23,LG,키움,잠실,서울_잠실,16681
2024,2024-06-06,,2024-06-06,목,평일,6,23,KT,한화,수원,경기_수원,18700
2024,2024-06-06,,2024-06-06,목,평일,6,23,KIA,롯데,광주,광주,20500
2024,2024-06-06,,2024-06-06,목,평일,6,23,NC,두산,창원,경남_창원,14517
