연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-05-15,,2025-05-15,목,평일,5,20,SSG,NC,문학,인천,10081
2025,2025-05-15,,2025-05-15,목,평일,5,20,한화,두산,대전,대전,17000
2025,2025-05-15,,2025-05-15,목,평일,5,20,LG,키움,잠실,서울_잠실,18119
2025,2025-05-17,,2025-05-17,토,주말,5,20,LG,KT,잠실,서울_잠실,22963
2025,2025-05-17,,2025-05-17,토,주말,5,20,LG,KT,잠실,서울_잠실,17811
2025,2025-05-17,,2025-05-17,토,주말,5,20,KIA,두산,광주,광주,16854
2025,2025-05-17,,2025-05-17,토,주말,5,20,KIA,두산,광주,광주,20500
2025,2025-05-17,,2025-05-17,토,주말,5,20,한화,SSG,대전,대전,17000
2025,2025-05-17,,2025-05-17,토,주말,5,20,한화,SSG,대전,대전,17000
2025,2025-05-17,,2025-05-17,토,주말,5,20,롯데,삼성,사직,부산,22669
2025,2025-05-17,,2025-05-17,토,주말,5,20,롯데,삼성,사직,부산,22669
2025,2025-05-17,,2025-05-17,토,주말,5,20,NC,키움,울산,울산,2297
2025,2025-05-17,,2025-05-17,토,주말,5,20,NC,키움,울산,울산,5513
2025,2025-05-18,,2025-05-18,일,주말,5,20,LG,KT,잠실,서울_잠실,23029
2025,2025-05-18,,2025-05-18,일,주말,5,20,KIA,두산,광주,광주,20500
2025,2025-05-18,,2025-05-18,일,주말,5,20,한화,SSG,대전,대전,17000
2025,2025-05-18,,2025-05-18,일,주말,5,20,롯데,삼성,사직,부산,22669
2025,2025-05-18,,2025-05-18,일,주말,5,20,NC,키움,울산,울산,6456
2025,2025-05-20,,2025-05-20,화,평일,5,21,NC,한화,울산,울산,4497
2025,2025-05-20,,2025-05-20,화,평일,5,21,KT,KIA,수원,경기_수원,16064
2025,2025-05-20,,2025-05-20,화,평일,5,21,롯데,LG,사직,부산,22669
2025,2025-05-20,,2025-05-20,화,평일,5,21,두산,SSG,잠실,서울_잠실,17782
2025,2025-05-20,,2025-05-20,화,평일,5,21,키움,삼성,고척,서울_고척,13106
2025,2025-05-21,,2025-05-21,수,평일,5,21,NC,한화,울산,울산,4183
2025,2025-05-21,,2025-05-21,수,평일,5,21,KT,KIA,수원,경기_수원,16302
2025,2025-05-21,,2025-05-21,수,평일,5,21,롯데,LG,사직,부산,22669
2025,2025-05-21,,2025-05-21,수,평일,5,21,두산,SSG,잠실,서울_잠실,14052
2025,2025-05-21,,2025-05-21,수,평일,5,21,키움,삼성,고척,서울_고척,13193
2025,2025-05-22,,2025-05-22,목,평일,5,21,NC,한화,울산,울산,5005
2025,2025-05-22,,2025-05-22,목,평일,5,21,KT,KIA,수원,경기_수원,16705
2025,2025-05-22,,2025-05-22,목,평일,5,21,롯데,LG,사직,부산,22669
2025,2025-05-22,,2025-05-22,목,평일,5,21,두산,SSG,잠실,서울_잠실,14592
